SF-A-022;Sensirion;RMSE;MAE
-7.75;-7.4571;2.674464018071933;1.8787744732089104
-7.9375;-7.4286;2.674464018071933;1.8787744732089104
-8.0625;-7.4;2.674464018071933;1.8787744732089104
-8.0;-7.3714;2.674464018071933;1.8787744732089104
-7.625;-7.2857;2.674464018071933;1.8787744732089104
-7.125;-7.2857;2.674464018071933;1.8787744732089104
-6.6875;-7.2;2.674464018071933;1.8787744732089104
-6.3125;-7.1429;2.674464018071933;1.8787744732089104
-6.1875;-7.1143;2.674464018071933;1.8787744732089104
-6.5;-7.1143;2.674464018071933;1.8787744732089104
-7.0;-7.0571;2.674464018071933;1.8787744732089104
-7.3125;-7.0;2.674464018071933;1.8787744732089104
-7.25;-7.0286;2.674464018071933;1.8787744732089104
-6.9375;-6.9714;2.674464018071933;1.8787744732089104
-6.625;-6.8857;2.674464018071933;1.8787744732089104
-6.5625;-6.9143;2.674464018071933;1.8787744732089104
-6.5625;-6.8857;2.674464018071933;1.8787744732089104
-6.6875;-6.8571;2.674464018071933;1.8787744732089104
-6.6875;-6.7714;2.674464018071933;1.8787744732089104
-6.625;-6.7714;2.674464018071933;1.8787744732089104
-6.5;-6.7714;2.674464018071933;1.8787744732089104
-6.375;-6.7429;2.674464018071933;1.8787744732089104
-6.3125;-6.7143;2.674464018071933;1.8787744732089104
-6.375;-6.6857;2.674464018071933;1.8787744732089104
-6.375;-6.6857;2.674464018071933;1.8787744732089104
-6.4375;-6.6857;2.674464018071933;1.8787744732089104
-6.5625;-6.7143;2.674464018071933;1.8787744732089104
-6.625;-6.7714;2.674464018071933;1.8787744732089104
-6.6875;-6.8286;2.674464018071933;1.8787744732089104
-6.6875;-6.8857;2.674464018071933;1.8787744732089104
-6.6875;-6.9143;2.674464018071933;1.8787744732089104
-6.75;-7.0;2.674464018071933;1.8787744732089104
-6.875;-7.1714;2.674464018071933;1.8787744732089104
-7.125;-7.2571;2.674464018071933;1.8787744732089104
-7.25;-7.4286;2.674464018071933;1.8787744732089104
-7.0625;-7.5429;2.674464018071933;1.8787744732089104
-6.75;-7.7429;2.674464018071933;1.8787744732089104
-6.6875;-7.9429;2.674464018071933;1.8787744732089104
-7.0625;-8.1429;2.674464018071933;1.8787744732089104
-7.5625;-8.3714;2.674464018071933;1.8787744732089104
-7.9375;-8.6;2.674464018071933;1.8787744732089104
-8.1875;-8.9429;2.674464018071933;1.8787744732089104
-8.3125;-9.2;2.674464018071933;1.8787744732089104
