SF-A-022;Sensirion;RMSE;MAE
9.66;-9.2286;275.36722093516784;190.65788852939545
9.6;-9.2286;275.36722093516784;190.65788852939545
9.58;-9.1429;275.36722093516784;190.65788852939545
9.53;-9.1714;275.36722093516784;190.65788852939545
9.51;-9.1429;275.36722093516784;190.65788852939545
9.46;-9.0571;275.36722093516784;190.65788852939545
9.39;-9.0;275.36722093516784;190.65788852939545
9.37;-8.9429;275.36722093516784;190.65788852939545
9.3;-8.8286;275.36722093516784;190.65788852939545
9.27;-8.8571;275.36722093516784;190.65788852939545
9.22;-8.8286;275.36722093516784;190.65788852939545
9.21;-8.8286;275.36722093516784;190.65788852939545
9.16;-8.7714;275.36722093516784;190.65788852939545
9.12;-8.7714;275.36722093516784;190.65788852939545
9.1;-8.6857;275.36722093516784;190.65788852939545
9.05;-8.7143;275.36722093516784;190.65788852939545
9.01;-8.6;275.36722093516784;190.65788852939545
9.0;-8.6;275.36722093516784;190.65788852939545
8.99;-8.5429;275.36722093516784;190.65788852939545
8.97;-8.6;275.36722093516784;190.65788852939545
8.94;-8.5429;275.36722093516784;190.65788852939545
8.9;-8.5143;275.36722093516784;190.65788852939545
8.89;-8.4857;275.36722093516784;190.65788852939545
8.89;-8.5143;275.36722093516784;190.65788852939545
8.89;-8.5143;275.36722093516784;190.65788852939545
8.92;-8.5429;275.36722093516784;190.65788852939545
8.98;-8.5714;275.36722093516784;190.65788852939545
9.04;-8.6571;275.36722093516784;190.65788852939545
9.12;-8.7143;275.36722093516784;190.65788852939545
9.2;-8.8571;275.36722093516784;190.65788852939545
9.3;-8.9429;275.36722093516784;190.65788852939545
9.39;-9.0286;275.36722093516784;190.65788852939545
9.54;-9.1429;275.36722093516784;190.65788852939545
9.71;-9.3429;275.36722093516784;190.65788852939545
9.93;-9.5429;275.36722093516784;190.65788852939545
10.14;-9.8;275.36722093516784;190.65788852939545
10.36;-10.0286;275.36722093516784;190.65788852939545
10.59;-10.2571;275.36722093516784;190.65788852939545
10.9;-10.4857;275.36722093516784;190.65788852939545
11.19;-10.8;275.36722093516784;190.65788852939545
11.49;-11.1429;275.36722093516784;190.65788852939545
11.84;-11.4571;275.36722093516784;190.65788852939545
12.19;-11.8286;275.36722093516784;190.65788852939545
12.58;-12.1714;275.36722093516784;190.65788852939545
13.02;-12.5429;275.36722093516784;190.65788852939545
13.44;-13.0;275.36722093516784;190.65788852939545
13.82;-13.4571;275.36722093516784;190.65788852939545
14.32;-13.8571;275.36722093516784;190.65788852939545
14.77;-14.3714;275.36722093516784;190.65788852939545
15.28;-14.7714;275.36722093516784;190.65788852939545
15.78;-15.3714;275.36722093516784;190.65788852939545
16.34;-15.8571;275.36722093516784;190.65788852939545
16.86;-16.4286;275.36722093516784;190.65788852939545
17.44;-16.9714;275.36722093516784;190.65788852939545
18.07;-17.5714;275.36722093516784;190.65788852939545
18.72;-18.2286;275.36722093516784;190.65788852939545
19.35;-18.8286;275.36722093516784;190.65788852939545
20.03;-19.5143;275.36722093516784;190.65788852939545
20.72;-20.0571;275.36722093516784;190.65788852939545
21.44;-20.7714;275.36722093516784;190.65788852939545
22.16;-21.3714;275.36722093516784;190.65788852939545
22.91;-22.0286;275.36722093516784;190.65788852939545
23.65;-22.8;275.36722093516784;190.65788852939545
24.41;-23.4;275.36722093516784;190.65788852939545
25.14;-24.0857;275.36722093516784;190.65788852939545
