SF-A-022;Sensirion;RMSE;MAE
11.92;-11.4;300.1672663434799;212.53353367641085
11.91;-11.4;300.1672663434799;212.53353367641085
11.83;-11.2857;300.1672663434799;212.53353367641085
11.79;-11.2857;300.1672663434799;212.53353367641085
11.71;-11.2286;300.1672663434799;212.53353367641085
11.64;-11.1429;300.1672663434799;212.53353367641085
11.55;-11.0571;300.1672663434799;212.53353367641085
11.46;-10.9714;300.1672663434799;212.53353367641085
11.39;-10.9429;300.1672663434799;212.53353367641085
11.35;-10.8857;300.1672663434799;212.53353367641085
11.27;-10.8;300.1672663434799;212.53353367641085
11.17;-10.7143;300.1672663434799;212.53353367641085
11.08;-10.6286;300.1672663434799;212.53353367641085
11.04;-10.5429;300.1672663434799;212.53353367641085
10.93;-10.4857;300.1672663434799;212.53353367641085
10.91;-10.4571;300.1672663434799;212.53353367641085
10.9;-10.4;300.1672663434799;212.53353367641085
10.85;-10.4;300.1672663434799;212.53353367641085
10.82;-10.3429;300.1672663434799;212.53353367641085
10.76;-10.3143;300.1672663434799;212.53353367641085
10.71;-10.2571;300.1672663434799;212.53353367641085
10.73;-10.2;300.1672663434799;212.53353367641085
10.71;-10.2571;300.1672663434799;212.53353367641085
10.71;-10.2571;300.1672663434799;212.53353367641085
10.74;-10.2857;300.1672663434799;212.53353367641085
10.75;-10.3143;300.1672663434799;212.53353367641085
10.82;-10.3429;300.1672663434799;212.53353367641085
10.89;-10.4571;300.1672663434799;212.53353367641085
10.95;-10.5429;300.1672663434799;212.53353367641085
11.16;-10.6571;300.1672663434799;212.53353367641085
11.35;-10.8857;300.1672663434799;212.53353367641085
11.6;-11.1429;300.1672663434799;212.53353367641085
11.87;-11.4857;300.1672663434799;212.53353367641085
12.21;-11.8;300.1672663434799;212.53353367641085
12.61;-12.1429;300.1672663434799;212.53353367641085
12.94;-12.6;300.1672663434799;212.53353367641085
13.36;-12.9714;300.1672663434799;212.53353367641085
13.88;-13.4286;300.1672663434799;212.53353367641085
14.35;-13.8857;300.1672663434799;212.53353367641085
14.87;-14.4857;300.1672663434799;212.53353367641085
15.49;-15.0571;300.1672663434799;212.53353367641085
16.12;-15.7429;300.1672663434799;212.53353367641085
16.76;-16.3429;300.1672663434799;212.53353367641085
17.54;-17.0286;300.1672663434799;212.53353367641085
18.3;-17.8;300.1672663434799;212.53353367641085
19.03;-18.5429;300.1672663434799;212.53353367641085
19.88;-19.3429;300.1672663434799;212.53353367641085
20.79;-20.1429;300.1672663434799;212.53353367641085
21.71;-21.0286;300.1672663434799;212.53353367641085
22.67;-21.9143;300.1672663434799;212.53353367641085
23.69;-22.8857;300.1672663434799;212.53353367641085
24.84;-23.8857;300.1672663434799;212.53353367641085
25.94;-24.8286;300.1672663434799;212.53353367641085
27.12;-26.0;300.1672663434799;212.53353367641085
28.34;-27.1429;300.1672663434799;212.53353367641085
29.54;-28.1714;300.1672663434799;212.53353367641085
30.83;-29.4286;300.1672663434799;212.53353367641085
32.04;-30.6571;300.1672663434799;212.53353367641085
33.13;-31.7714;300.1672663434799;212.53353367641085
34.25;-32.9714;300.1672663434799;212.53353367641085
35.55;-34.0857;300.1672663434799;212.53353367641085
36.88;-35.4571;300.1672663434799;212.53353367641085
38.36;-36.7429;300.1672663434799;212.53353367641085
39.75;-38.0286;300.1672663434799;212.53353367641085
41.19;-39.3714;300.1672663434799;212.53353367641085
42.49;-40.6857;300.1672663434799;212.53353367641085
43.75;-42.0286;300.1672663434799;212.53353367641085
45.17;-43.2;300.1672663434799;212.53353367641085
46.5;-44.6286;300.1672663434799;212.53353367641085
47.38;-45.9429;300.1672663434799;212.53353367641085
49.02;-46.9714;300.1672663434799;212.53353367641085
50.34;-48.4286;300.1672663434799;212.53353367641085
51.65;-49.8286;300.1672663434799;212.53353367641085
53.08;-51.0571;300.1672663434799;212.53353367641085
54.47;-52.4571;300.1672663434799;212.53353367641085
55.65;-53.9714;300.1672663434799;212.53353367641085
57.02;-55.2;300.1672663434799;212.53353367641085
58.19;-56.3429;300.1672663434799;212.53353367641085
59.52;-57.7429;300.1672663434799;212.53353367641085
60.75;-58.7714;300.1672663434799;212.53353367641085
61.99;-59.9429;300.1672663434799;212.53353367641085
63.53;-61.2286;300.1672663434799;212.53353367641085
64.82;-62.5143;300.1672663434799;212.53353367641085
66.24;-63.9143;300.1672663434799;212.53353367641085
67.54;-65.4857;300.1672663434799;212.53353367641085
68.9;-66.9429;300.1672663434799;212.53353367641085
70.36;-68.0571;300.1672663434799;212.53353367641085
71.62;-69.4857;300.1672663434799;212.53353367641085
72.82;-70.5429;300.1672663434799;212.53353367641085
74.4;-71.8;300.1672663434799;212.53353367641085
75.78;-73.7714;300.1672663434799;212.53353367641085
77.43;-74.6857;300.1672663434799;212.53353367641085
78.49;-76.7143;300.1672663434799;212.53353367641085
79.96;-78.2857;300.1672663434799;212.53353367641085
81.58;-79.3429;300.1672663434799;212.53353367641085
83.15;-81.1143;300.1672663434799;212.53353367641085
84.54;-82.6;300.1672663434799;212.53353367641085
85.27;-83.8;300.1672663434799;212.53353367641085
86.4;-85.1429;300.1672663434799;212.53353367641085
87.79;-85.9429;300.1672663434799;212.53353367641085
89.44;-87.4286;300.1672663434799;212.53353367641085
90.83;-88.4;300.1672663434799;212.53353367641085
92.29;-88.9429;300.1672663434799;212.53353367641085
93.86;-90.8;300.1672663434799;212.53353367641085
95.08;-92.2;300.1672663434799;212.53353367641085
96.5;-93.5143;300.1672663434799;212.53353367641085
