TSI;Sensirion;RMSE;MAE
0.0;0.0286;95.0085411136381;56.2568108956602
0.0;0.0857;95.0085411136381;56.2568108956602
0.0;0.0286;95.0085411136381;56.2568108956602
0.0;-0.0286;95.0085411136381;56.2568108956602
0.0;0.0857;95.0085411136381;56.2568108956602
0.0;0.0571;95.0085411136381;56.2568108956602
0.0;0.0;95.0085411136381;56.2568108956602
0.0;0.0;95.0085411136381;56.2568108956602
0.0;0.0286;95.0085411136381;56.2568108956602
0.0;-0.0286;95.0085411136381;56.2568108956602
0.0;0.0;95.0085411136381;56.2568108956602
0.0;-0.0286;95.0085411136381;56.2568108956602
0.0;-0.0286;95.0085411136381;56.2568108956602
0.0;0.0;95.0085411136381;56.2568108956602
0.0;-0.1429;95.0085411136381;56.2568108956602
0.0;-0.1143;95.0085411136381;56.2568108956602
0.0;-0.1429;95.0085411136381;56.2568108956602
0.0;-0.1143;95.0085411136381;56.2568108956602
0.01;-0.0571;95.0085411136381;56.2568108956602
0.01;-0.1143;95.0085411136381;56.2568108956602
0.01;-0.0571;95.0085411136381;56.2568108956602
0.02;-0.1714;95.0085411136381;56.2568108956602
0.02;-0.1714;95.0085411136381;56.2568108956602
0.04;-0.3143;95.0085411136381;56.2568108956602
0.05;-0.4571;95.0085411136381;56.2568108956602
0.08;-0.4286;95.0085411136381;56.2568108956602
0.12;-0.4286;95.0085411136381;56.2568108956602
0.16;-0.5714;95.0085411136381;56.2568108956602
0.23;-0.5714;95.0085411136381;56.2568108956602
0.31;-0.7143;95.0085411136381;56.2568108956602
0.42;-0.8571;95.0085411136381;56.2568108956602
0.54;-1.0857;95.0085411136381;56.2568108956602
0.68;-1.1143;95.0085411136381;56.2568108956602
0.83;-1.3714;95.0085411136381;56.2568108956602
1.0;-1.5429;95.0085411136381;56.2568108956602
1.18;-1.8;95.0085411136381;56.2568108956602
1.41;-1.9714;95.0085411136381;56.2568108956602
1.62;-2.2;95.0085411136381;56.2568108956602
1.88;-2.5429;95.0085411136381;56.2568108956602
2.15;-2.7429;95.0085411136381;56.2568108956602
2.45;-3.0571;95.0085411136381;56.2568108956602
2.76;-3.3429;95.0085411136381;56.2568108956602
3.1;-3.7429;95.0085411136381;56.2568108956602
3.51;-4.0286;95.0085411136381;56.2568108956602
3.93;-4.4857;95.0085411136381;56.2568108956602
4.38;-4.8857;95.0085411136381;56.2568108956602
4.84;-5.3429;95.0085411136381;56.2568108956602
5.34;-5.7143;95.0085411136381;56.2568108956602
5.85;-6.2;95.0085411136381;56.2568108956602
6.39;-6.6857;95.0085411136381;56.2568108956602
6.96;-7.2857;95.0085411136381;56.2568108956602
7.55;-7.8;95.0085411136381;56.2568108956602
8.15;-8.3143;95.0085411136381;56.2568108956602
8.72;-8.8857;95.0085411136381;56.2568108956602
9.33;-9.4857;95.0085411136381;56.2568108956602
9.98;-10.0;95.0085411136381;56.2568108956602
10.65;-10.5429;95.0085411136381;56.2568108956602
11.32;-11.2571;95.0085411136381;56.2568108956602
12.06;-11.8857;95.0085411136381;56.2568108956602
12.66;-12.4857;95.0085411136381;56.2568108956602
13.43;-13.2;95.0085411136381;56.2568108956602
14.21;-13.7714;95.0085411136381;56.2568108956602
14.93;-14.6;95.0085411136381;56.2568108956602
15.73;-15.2286;95.0085411136381;56.2568108956602
16.44;-15.9143;95.0085411136381;56.2568108956602
17.12;-16.5429;95.0085411136381;56.2568108956602
17.9;-17.3429;95.0085411136381;56.2568108956602
18.62;-17.8571;95.0085411136381;56.2568108956602
19.36;-18.7143;95.0085411136381;56.2568108956602
20.19;-19.3429;95.0085411136381;56.2568108956602
20.94;-20.2;95.0085411136381;56.2568108956602
21.71;-20.8286;95.0085411136381;56.2568108956602
22.54;-21.6;95.0085411136381;56.2568108956602
23.31;-22.1429;95.0085411136381;56.2568108956602
24.15;-22.9429;95.0085411136381;56.2568108956602
25.02;-23.6857;95.0085411136381;56.2568108956602
25.61;-24.3143;95.0085411136381;56.2568108956602
26.42;-25.2286;95.0085411136381;56.2568108956602
27.24;-25.8571;95.0085411136381;56.2568108956602
27.98;-26.5143;95.0085411136381;56.2568108956602
28.64;-27.1714;95.0085411136381;56.2568108956602
29.36;-27.9143;95.0085411136381;56.2568108956602
29.93;-28.4571;95.0085411136381;56.2568108956602
30.57;-29.1714;95.0085411136381;56.2568108956602
31.37;-29.9429;95.0085411136381;56.2568108956602
32.14;-30.5429;95.0085411136381;56.2568108956602
32.75;-31.2571;95.0085411136381;56.2568108956602
33.34;-32.1714;95.0085411136381;56.2568108956602
34.04;-32.8571;95.0085411136381;56.2568108956602
34.87;-33.4857;95.0085411136381;56.2568108956602
35.61;-34.3429;95.0085411136381;56.2568108956602
36.44;-34.9143;95.0085411136381;56.2568108956602
37.05;-35.4571;95.0085411136381;56.2568108956602
