TSI;Sensirion;RMSE;MAE
11.06;-11.2286;95.30234126499015;56.589555569345336
11.64;-11.9143;95.30234126499015;56.589555569345336
12.39;-12.6857;95.30234126499015;56.589555569345336
13.15;-13.2857;95.30234126499015;56.589555569345336
13.88;-13.9714;95.30234126499015;56.589555569345336
14.67;-14.6571;95.30234126499015;56.589555569345336
15.4;-15.3429;95.30234126499015;56.589555569345336
16.15;-15.9714;95.30234126499015;56.589555569345336
16.86;-16.6857;95.30234126499015;56.589555569345336
17.6;-17.3714;95.30234126499015;56.589555569345336
18.33;-18.0286;95.30234126499015;56.589555569345336
19.11;-18.7714;95.30234126499015;56.589555569345336
19.81;-19.4286;95.30234126499015;56.589555569345336
20.56;-20.1714;95.30234126499015;56.589555569345336
21.36;-20.8571;95.30234126499015;56.589555569345336
22.21;-21.6286;95.30234126499015;56.589555569345336
23.02;-22.4;95.30234126499015;56.589555569345336
23.93;-23.0286;95.30234126499015;56.589555569345336
24.56;-23.7143;95.30234126499015;56.589555569345336
25.3;-24.4571;95.30234126499015;56.589555569345336
25.95;-25.1429;95.30234126499015;56.589555569345336
26.78;-25.7429;95.30234126499015;56.589555569345336
27.68;-26.6286;95.30234126499015;56.589555569345336
28.51;-27.3429;95.30234126499015;56.589555569345336
29.02;-27.9143;95.30234126499015;56.589555569345336
29.66;-28.8571;95.30234126499015;56.589555569345336
30.44;-29.3143;95.30234126499015;56.589555569345336
31.15;-30.1143;95.30234126499015;56.589555569345336
31.87;-30.8571;95.30234126499015;56.589555569345336
32.46;-31.5429;95.30234126499015;56.589555569345336
33.14;-32.2571;95.30234126499015;56.589555569345336
33.79;-32.7429;95.30234126499015;56.589555569345336
34.38;-33.3429;95.30234126499015;56.589555569345336
35.3;-34.2571;95.30234126499015;56.589555569345336
36.07;-35.0;95.30234126499015;56.589555569345336
36.77;-35.7429;95.30234126499015;56.589555569345336
37.25;-36.5429;95.30234126499015;56.589555569345336
37.96;-37.2286;95.30234126499015;56.589555569345336
38.73;-37.5714;95.30234126499015;56.589555569345336
39.55;-38.6;95.30234126499015;56.589555569345336
40.0;-39.0286;95.30234126499015;56.589555569345336
