SF-A-022;Sensirion;RMSE;MAE
-7.0;-8.0;5.002952684798741;3.275080426939266
-6.875;-7.9714;5.002952684798741;3.275080426939266
-7.0625;-7.9143;5.002952684798741;3.275080426939266
-7.375;-7.9143;5.002952684798741;3.275080426939266
-7.6875;-7.9143;5.002952684798741;3.275080426939266
-7.75;-7.8286;5.002952684798741;3.275080426939266
-7.6875;-7.7714;5.002952684798741;3.275080426939266
-7.625;-7.7429;5.002952684798741;3.275080426939266
-7.6875;-7.6286;5.002952684798741;3.275080426939266
-7.75;-7.6571;5.002952684798741;3.275080426939266
-7.8125;-7.6;5.002952684798741;3.275080426939266
-7.5;-7.5714;5.002952684798741;3.275080426939266
-6.8125;-7.4857;5.002952684798741;3.275080426939266
-6.3125;-7.4857;5.002952684798741;3.275080426939266
-6.4375;-7.4571;5.002952684798741;3.275080426939266
-6.9375;-7.3714;5.002952684798741;3.275080426939266
-7.25;-7.3714;5.002952684798741;3.275080426939266
-7.375;-7.3143;5.002952684798741;3.275080426939266
-7.5;-7.2857;5.002952684798741;3.275080426939266
-7.5;-7.2571;5.002952684798741;3.275080426939266
-7.5;-7.2286;5.002952684798741;3.275080426939266
-7.5;-7.2571;5.002952684798741;3.275080426939266
-7.5;-7.1714;5.002952684798741;3.275080426939266
-7.4375;-7.2;5.002952684798741;3.275080426939266
-7.125;-7.2;5.002952684798741;3.275080426939266
-6.625;-7.2571;5.002952684798741;3.275080426939266
-6.3125;-7.2286;5.002952684798741;3.275080426939266
-6.375;-7.3429;5.002952684798741;3.275080426939266
-6.6875;-7.4;5.002952684798741;3.275080426939266
-6.9375;-7.4571;5.002952684798741;3.275080426939266
-7.0;-7.6;5.002952684798741;3.275080426939266
-6.9375;-7.6857;5.002952684798741;3.275080426939266
-6.75;-7.8286;5.002952684798741;3.275080426939266
-6.5625;-7.9429;5.002952684798741;3.275080426939266
-6.5;-8.1143;5.002952684798741;3.275080426939266
-6.8125;-8.3143;5.002952684798741;3.275080426939266
-7.25;-8.5143;5.002952684798741;3.275080426939266
-7.5625;-8.8;5.002952684798741;3.275080426939266
-7.8125;-9.0571;5.002952684798741;3.275080426939266
-8.0;-9.3429;5.002952684798741;3.275080426939266
-8.25;-9.6286;5.002952684798741;3.275080426939266
-8.6875;-9.9714;5.002952684798741;3.275080426939266
-9.0;-10.3714;5.002952684798741;3.275080426939266
-9.1875;-10.7143;5.002952684798741;3.275080426939266
-9.4375;-11.0571;5.002952684798741;3.275080426939266
-9.8125;-11.4857;5.002952684798741;3.275080426939266
-10.25;-11.9429;5.002952684798741;3.275080426939266
-10.5625;-12.3143;5.002952684798741;3.275080426939266
-10.8125;-12.7714;5.002952684798741;3.275080426939266
-11.125;-13.2571;5.002952684798741;3.275080426939266
-11.3125;-13.8286;5.002952684798741;3.275080426939266
-11.4375;-14.2857;5.002952684798741;3.275080426939266
-11.4375;-14.8286;5.002952684798741;3.275080426939266
-11.4375;-15.4286;5.002952684798741;3.275080426939266
-11.4375;-16.0571;5.002952684798741;3.275080426939266
-11.5;-16.6;5.002952684798741;3.275080426939266
